,index,distance,pert point,ori point
0,0,0.09674300037412885,"[ 0.35456498 -0.07384368  0.43385944  1.41562628  0.33074525  0.65944134
  0.69786256  0.44496734]","[0.88058857 0.03125    0.95957014 1.         0.0130235  0.25994486
 0.41715878 0.59907938]"
1,1,0.11460433467741939,"[0.77051168 0.125      0.31206057 0.43150642 0.53975194 0.3625522
 0.16504223 0.70948775]","[0.88511602 0.125      0.35553652 0.34099386 0.59907938 0.39632237
 0.1246809  0.75483879]"
2,2,0.07802307415497237,"[0.5162094  0.12602147 0.34487418 0.02635092 0.78489459 0.26790782
 0.10711086 0.71288822]","[0.8007923  0.265625   0.21622548 0.28785213 0.78716391 0.1962153
 0.30290981 0.81303695]"
3,3,0.0761271909891365,"[0.58322241 0.77046717 0.39175654 0.08891933 0.74740662 0.24268952
 0.21604797 0.71128968]","[0.65025467 0.78125    0.35449265 0.04881349 0.76112553 0.29017425
 0.17498832 0.77572989]"
4,4,0.08542071035616076,"[0.67156867 0.77794208 0.30236499 0.20861522 0.6914534  0.30350893
 0.26547943 0.7468367 ]","[0.69043577 0.796875   0.27126951 0.1313764  0.76989246 0.26264554
 0.2519178  0.79708107]"
5,5,0.009132368966987242,"[0.76689613 0.13684082 0.35939515 0.33953732 0.59907938 0.2792101
 0.44739067 0.70280397]","[0.75778155 0.140625   0.35553652 0.34099386 0.59907938 0.28174567
 0.45524284 0.6936716 ]"
6,6,0.029324296453851772,"[0.73289515 0.16071243 0.28312474 0.40307315 0.79975607 0.21718821
 0.37759975 0.67047467]","[0.79060555 0.109375   0.26080672 0.34716793 0.76908729 0.25357191
 0.33794522 0.65898851]"
7,7,0.03344464045698924,"[0.69660629 0.7849884  0.30556293 0.14480001 0.77223568 0.3017683
 0.42037162 0.62769561]","[0.73005093 0.78125    0.29017425 0.17498832 0.77572989 0.27126951
 0.422194   0.65106628]"
8,8,0.01706395844047169,"[0.78232747 0.11732087 0.18748458 0.47698105 0.83994815 0.44400219
 0.5412716  0.49860782]","[0.75721562 0.125      0.18219534 0.46590509 0.85069267 0.45783839
 0.53942764 0.50448716]"
9,9,0.011599373938879456,"[0.71279225 0.78367615 0.3771116  0.41975491 0.44882689 0.32297711
 0.30453151 0.72235846]","[0.72439162 0.78125    0.38168143 0.42106475 0.43778807 0.32554803
 0.30067051 0.72745248]"
10,10,0.07015120527460791,"[0.98713037 0.21920913 0.21384632 0.12342892 0.93354693 0.16032427
 0.41011479 0.65175436]","[0.69156763 0.140625   0.24652713 0.32896564 0.6936716  0.3874013
 0.32896564 0.59907938]"
11,11,0.019362686580362193,"[0.70955639 0.796875   0.41207894 0.08360759 0.84447493 0.35971174
 0.3679291  0.6582164 ]","[0.72891907 0.796875   0.42142609 0.08925521 0.85800384 0.35337652
 0.36035739 0.67523194]"
12,12,0.05671012309332611,"[0.59460639 0.03473763 0.3548647  0.51814014 0.39812861 0.49621487
 0.53880191 0.50343274]","[0.83078664 0.125      0.32367174 0.41715878 0.59907938 0.28925885
 0.46590509 0.65898851]"
13,13,0.06900325965674267,"[0.79500915 0.15839441 0.48285298 0.44930487 0.54674377 0.23329947
 0.24822319 0.80137366]","[0.84040747 0.140625   0.5090656  0.41888944 0.55823176 0.24652713
 0.24478404 0.78826382]"
14,14,0.022305309061644813,"[0.59053817 0.84497955 0.30542805 0.23681456 0.81081213 0.32967545
 0.31965835 0.67111324]","[0.59875495 0.828125   0.33763015 0.23712884 0.7995972  0.36509729
 0.34861068 0.65898851]"
15,15,0.09950227960078485,"[0.96476073 0.15161128 0.17846957 0.28552649 0.39305705 0.18772668
 0.35623033 0.81415152]","[0.65421619 0.125      0.25357191 0.42325287 0.56313463 0.23298359
 0.31169745 0.80645187]"
16,16,0.029299987503717723,"[0.80294508 0.16082829 0.31887577 0.61868377 0.45841701 0.31241641
 0.43100403 0.58670959]","[0.74702886 0.140625   0.34394957 0.61103718 0.49404521 0.28174567
 0.41315044 0.55178327]"
17,17,0.0471388928426295,"[0.590353   0.78648193 0.34893001 0.33482358 0.63950168 0.19792323
 0.07803935 0.94398093]","[0.58517261 0.796875   0.33069511 0.3061376  0.67523194 0.17154787
 0.04246988 0.94693116]"
18,18,0.09354471565936996,"[0.3908626  0.31253893 0.32075432 0.60097624 0.47312825 0.17067495
 0.07721176 0.4570174 ]","[0.85908319 0.125      0.32494848 0.50856052 0.61105977 0.29615374
 0.27348224 0.84415792]"
19,19,0.041236139112903226,"[0.7346552  0.13044739 0.18675458 0.27219956 0.80475154 0.25111587
 0.24990166 0.71702493]","[0.77589134 0.125      0.21131126 0.28687324 0.78826382 0.25357191
 0.25264077 0.75483879]"
20,20,0.05715314581871818,"[0.53834883 0.13711692 0.14833533 0.45146366 0.66793482 0.19615709
 0.48952585 0.59277759]","[0.82059989 0.140625   0.17609272 0.45524284 0.74096771 0.28174567
 0.49733524 0.50448716]"
21,21,0.01749051911557332,"[0.7515113  0.12436744 0.29041803 0.38516425 0.79466479 0.14289973
 0.23839462 0.78822678]","[0.7385399  0.125      0.28925885 0.38060064 0.80276753 0.14087417
 0.24478404 0.78826382]"
22,22,0.12282017403803115,"[0.8160347  0.2805687  0.30941883 0.38485391 0.55301784 0.39715492
 0.7772368  0.34731351]","[0.90322581 0.25       0.33096812 0.34925048 0.5665997  0.37253018
 0.79291614 0.29954095]"
23,23,0.0663569712843186,"[0.76682263 0.13687134 0.35936403 0.33954907 0.59907938 0.27923054
 0.447454   0.70273032]","[0.83305037 0.109375   0.3874013  0.32896564 0.59907938 0.26080672
 0.39039917 0.76908729]"
24,24,0.019188596491228067,"[0.70633489 0.80160522 0.32308157 0.26386664 0.7565318  0.31665202
 0.38158703 0.64692422]","[0.72552349 0.796875   0.3204866  0.26863576 0.7488504  0.30801103
 0.38746889 0.64477236]"
25,25,0.029557733800226374,"[0.76783898 0.140625   0.22890934 0.3589444  0.67883293 0.36201919
 0.35930176 0.66725229]","[0.79739672 0.140625   0.22208185 0.37056219 0.67308245 0.35218276
 0.37105804 0.6936716 ]"
26,26,0.06017245612210583,"[0.6895611  0.65550502 0.49220799 0.06095155 0.83916247 0.47448645
 0.44679348 0.49811538]","[0.77362762 0.734375   0.42142609 0.08925521 0.85800384 0.4695779
 0.44121204 0.55178327]"
27,27,0.06540165164355599,"[0.75825463 0.140625   0.22409084 0.26305296 0.78064693 0.26001067
 0.41315044 0.62826995]","[0.82059989 0.140625   0.20490619 0.27867421 0.77413394 0.21131126
 0.41315044 0.6936716 ]"
28,28,0.11452173250364228,"[ 0.14463818  0.30527259  0.74459813  0.82437917 -0.09703577  0.77532066
  0.70788654  0.89861861]","[0.89530277 0.125      0.39632237 0.72182484 0.4193556  0.35218276
 0.37105804 0.55178327]"
29,29,0.051631804435483875,"[0.75678178 0.125      0.20040714 0.31059132 0.76161357 0.37621361
 0.14871443 0.75483879]","[0.70514997 0.125      0.24652713 0.32896564 0.74096771 0.36063542
 0.16733312 0.75483879]"
30,30,0.009972593053617754,"[0.57564392 0.82921486 0.33955177 0.08043559 0.71804154 0.25622246
 0.37637199 0.65890391]","[0.57272213 0.828125   0.34279061 0.08202548 0.71889404 0.25357191
 0.37526792 0.65898851]"
31,31,0.08524936929395063,"[0.49310931 0.03705863 0.74027244 0.60174158 0.52867895 0.25493307
 0.73273833 0.85126807]","[0.86587436 0.078125   0.42457643 0.6329663  0.29954095 0.21131126
 0.45524284 0.59907938]"
32,32,0.11117427581652217,"[0.92334412 0.48692694 0.29503134 0.25359453 0.74272041 0.08785525
 0.50144254 0.4079937 ]","[0.59705716 0.8125     0.46050159 0.40819839 0.51601465 0.3204866
 0.34861068 0.65898851]"
33,33,0.09495485341396685,"[ 0.49178529  0.23051109 -0.09803338  0.3715384   0.77201809  0.63099504
  0.6066681   0.83925192]","[0.86417657 0.140625   0.17609272 0.20269164 0.97744467 0.35218276
 0.45524284 0.59907938]"
34,34,0.10081101075467828,"[0.75916906 0.22187092 0.25351089 0.52284901 0.55834272 0.57372924
 0.78306255 0.31121079]","[0.88455008 0.140625   0.27442788 0.48640106 0.54072667 0.56349134
 0.87616364 0.2207141 ]"
35,35,0.003854299306734579,"[0.71374615 0.8125     0.27146916 0.13328093 0.77027858 0.4799808
 0.43322183 0.42912936]","[0.71760045 0.8125     0.27126951 0.1313764  0.76989246 0.48299296
 0.43507956 0.42539792]"
