,index,distance,pert point,ori point
0,0,0.04864252832960327,"[0.65874588 0.7055146  0.21734162 0.56814036 0.5686113  0.24779798
 0.32190914 0.68486077]","[0.62478778 0.671875   0.22923905 0.55702852 0.58274249 0.25357191
 0.32195024 0.71889404]"
1,1,0.04282973732279379,"[0.67651949 0.24122794 0.30480455 0.75170038 0.3571501  0.18767598
 0.75342956 0.75545198]","[0.82569327 0.171875   0.5090656  0.38253924 0.55823176 0.30161398
 0.35271179 0.66820474]"
2,2,0.0377539793631,"[0.67741639 0.80390212 0.30070153 0.29708084 0.70677392 0.29730081
 0.38509091 0.60492794]","[0.68817204 0.8125     0.30305399 0.30067051 0.69724811 0.2981826
 0.37526792 0.59907938]"
3,3,0.03729245822749067,"[0.80659777 0.14981763 0.36455684 0.32561789 0.59870808 0.32533768
 0.48821925 0.55492921]","[0.76004527 0.125      0.35218276 0.37105804 0.55178327 0.32494848
 0.50856052 0.56313463]"
4,4,0.08075384604068696,"[ 0.59636984 -0.00094889  0.319554    0.26298527  0.80505766  0.47573401
  0.54470835  0.64208061]","[0.88058857 0.109375   0.26080672 0.39039917 0.76908729 0.28174567
 0.49733524 0.50448716]"
5,5,0.018024503537188596,"[0.7611612  0.13395897 0.20548599 0.37049227 0.70558966 0.24605794
 0.39986557 0.64731539]","[0.74419921 0.140625   0.21131126 0.37105804 0.6936716  0.25357191
 0.40819839 0.63079704]"
6,6,0.047339018416528704,"[0.37355312 0.91585833 0.62776392 0.06653356 1.0338517  0.41576417
 0.37144529 1.03190893]","[0.67402377 0.8125     0.2981826  0.10868592 0.77880316 0.25807125
 0.30067051 0.75766046]"
7,7,0.059101311773781945,"[0.91792836 1.05309139 0.2448298  0.49455553 0.27815905 0.089086
 0.42549355 1.02473725]","[0.56536503 0.828125   0.34279061 0.4285856  0.59907938 0.21875485
 0.27968829 0.84017164]"
8,8,0.05217971711801063,"[0.84083604 0.14746622 0.78178828 0.84024936 0.15788925 0.27447798
 0.3374846  0.74697703]","[0.91454443 0.109375   0.83952785 0.86592365 0.08905205 0.24652713
 0.32896564 0.74096771]"
9,9,0.03715475979676267,"[0.52879052 0.85201164 0.28068974 0.20634998 0.67179386 0.31799336
 0.0897791  0.79581919]","[0.49235993 0.828125   0.2981826  0.21531808 0.62903215 0.35449265
 0.04881349 0.76112553]"
