,index,distance,pert point,ori point
0,0,0.0009765625,"[5.29153737e-01 2.44588216e-01 2.72594105e-01 2.15130357e-02
 2.10622073e-01 5.09513972e-02 9.60591474e-01 8.22946143e-01
 3.46637395e-01 7.71108617e-02 9.99023438e-01 0.00000000e+00
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.76562500e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.99023438e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.52926463 0.24444444 0.27272727 0.02147459 0.21059432 0.05072362
 0.96062992 0.82283465 0.34645669 0.07695525 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
1,1,0.0009765625,"[6.43599143e-01 1.77986654e-01 2.87730824e-01 3.43317293e-01
 1.87388970e-01 1.72091938e-01 9.21259843e-01 7.83614512e-01
 3.54503722e-01 1.50648346e-01 9.99023438e-01 0.00000000e+00
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.76562500e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.99023438e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.64382191 0.17777778 0.28787879 0.34359341 0.1873385  0.17198258
 0.92125984 0.78346457 0.35433071 0.15056462 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
2,2,0.0009765625,"[7.23075405e-01 3.33235677e-01 1.36378433e-01 6.79364542e-02
 2.41584403e-01 2.24524301e-01 9.29126169e-01 9.13355069e-01
 4.99976932e-01 4.60737776e-01 0.00000000e+00 9.99023438e-01
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99023438e-01
 0.00000000e+00 9.76562500e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.72336168 0.33333333 0.13636364 0.06800286 0.24160207 0.2243923
 0.92913386 0.91338583 0.5        0.46089502 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3,3,0.0009765625,"[7.09832944e-01 2.66848416e-01 2.57457386e-01 1.71884787e-01
 1.99029494e-01 3.46664182e-01 9.64505413e-01 8.42631182e-01
 3.66345503e-01 5.27318972e-01 0.00000000e+00 9.99023438e-01
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.99023438e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.70985493 0.26666667 0.25757576 0.17179671 0.19896641 0.34663482
 0.96456693 0.84251969 0.36614173 0.52767322 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
4,4,0.22064773623854672,"[  5.8053352   -1.65225145   0.08308667   0.9287572    6.61397282
  -0.50587113  -5.60963356   5.25000053   3.50689021  -4.01978133
  12.06564255  -0.6916403   -1.37823765  -3.77657226  -8.80800082
  -6.6370817   -0.05160683   3.40412063  -2.14399797   0.10184572
   4.33793583   3.95157324   3.17478627  -3.60504939  -8.9709651
  -1.797676    -1.73445138  -3.03859336  -9.32544272   7.60225226
   2.61067437   0.25716926  -3.16713658 -10.36860016   8.41107998
  -2.80151369   5.73527133  -1.26306111  -3.98296628  -0.13424636
   0.4974353    6.59853623   1.31968557   1.03238129  -3.45938595
   9.590529     2.07040774   6.62797887  10.43155656  -2.76749211
  -3.91436586  13.14536318   6.76257897   1.32331103]","[0.73736868 0.84444444 0.21212121 0.26556908 0.29844961 0.35885907
 0.70866142 0.91338583 0.75590551 0.12797992 0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
5,5,0.0009765625,"[6.87078402e-01 4.52718099e-01 1.36363636e-01 2.61793548e-01
 2.63541919e-01 3.76613105e-01 9.01594027e-01 9.56673690e-01
 5.74760858e-01 1.64993726e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.76562500e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.99023438e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.68734367 0.45277778 0.13636364 0.26198998 0.26356589 0.37670367
 0.9015748  0.95669291 0.57480315 0.16492402 0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
6,6,0.0009765625,"[5.80371240e-01 2.50976563e-02 5.45114228e-01 3.00979778e-02
 2.77738665e-01 7.01863167e-01 6.18363989e-01 5.71119894e-01
 4.17376661e-01 5.56162350e-01 9.99023438e-01 9.76562500e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.76562500e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.99023438e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.58029015 0.025      0.54545455 0.03006442 0.27777778 0.70226219
 0.61811024 0.57086614 0.41732283 0.5561132  1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,7,0.0009765625,"[7.06669253e-01 9.32891168e-01 2.11973248e-01 3.70805744e-01
 3.95259256e-01 3.22651200e-01 7.40288201e-01 8.66222472e-01
 6.73166831e-01 8.78674805e-03 9.76562500e-04 0.00000000e+00
 9.99023438e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.76562500e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.99023438e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[0.70685343 0.93333333 0.21212121 0.37079456 0.39534884 0.32246733
 0.74015748 0.86614173 0.67322835 0.0083647  0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.         0.         0.         0.         0.        ]"
8,8,0.4853515625,"[0.66020168 0.50893012 0.09135298 0.13253778 0.2573116  0.26869767
 0.83047798 0.90134412 0.6161994  0.21006264 0.48535156 0.
 0.51464844 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.51464844 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.48535156]","[0.56478239 0.98888889 0.10606061 0.17179671 0.28552972 0.18406632
 0.82283465 0.89370079 0.61811024 0.08894465 0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
9,9,0.32968493558009837,"[ 2.32021832 -5.67738369  0.92609026 -2.15921282  0.34043465  1.71095957
  0.17911532  4.36327349 -0.12838903  2.51892712 -0.03810173  0.71540431
 -2.75099301 -0.10191157  4.28555083 -2.11799395  1.17748031  1.04885208
 -1.23060735 -0.42356659 -0.20893175  1.40137934 -1.68835399  0.87893935
  1.00286764 -5.10153675  3.83730313 -2.71161961  0.2325588  -1.5986284
  2.85634769 -3.07327748  0.30382546  4.22448009 -0.44823155 -0.23515273
  4.49004668  0.67256061 -0.2421432   3.40043448 -1.02219959 -1.90599083
 -2.29226226  1.85271462  4.10949508  0.54964735 -4.12319289  0.80592917
  0.37265108  1.58482646  2.22082646 -1.33049025  0.33940514  1.10075223]","[0.48924462 0.94722222 0.18181818 0.09591983 0.25968992 0.32218631
 0.76377953 0.87401575 0.65354331 0.30126865 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
