,index,distance,pert point,ori point
0,0,0.08897026909722222,"[0.63076704 0.7276964  0.34062796 0.06997556 0.25782386 0.04976695
 0.64173228 0.95998785 0.84511488 0.30122808 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.61230615 0.81666667 0.28787879 0.09090909 0.27131783 0.03372207
 0.64173228 0.91338583 0.81496063 0.27268925 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
1,1,0.05804248781447751,"[ 0.63877285 -0.2474215   0.42859479  0.07627338  0.51044282  0.55597101
  0.51627804  0.85077667  0.77797569 -0.09463016  0.17770324  0.20200323
  0.25760308  1.04555626 -0.48002139 -0.02335438 -0.09972758 -0.16644262
 -0.05245966  0.52562871  0.23658289 -0.08337733  0.48136794  0.0477142
  0.29329834 -0.07834051 -0.06063035 -0.26146171  0.04519089 -0.25439546
 -0.17423148 -0.01509209 -0.18741658 -0.06820172  0.2248745   0.07445712
 -0.24469599  0.21549229 -0.06764688 -0.10180584 -0.21362636  0.03004858
  0.34166335  0.14479654 -0.17827764  0.12231745 -0.17985226  0.25578984
 -0.01658321  0.133352    0.08167804  0.0635893  -0.01370929 -0.15268717]","[0.22561281 0.00555556 0.3030303  0.28919112 0.3875969  0.19221582
 0.74409449 0.78346457 0.56692913 0.14219992 0.         0.
 0.         1.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
2,2,0.06189768818311012,"[ 4.18120098e-01  7.76653175e-01  2.82879893e-01  3.58487639e-01
  4.17291135e-01  2.00671225e-01  6.11608276e-01  9.08233202e-01
  5.32363073e-01  1.50473483e-01 -6.26748611e-02  7.87513024e-01
 -4.41115922e-02  9.28380723e-02  6.15482570e-03  3.88955132e-02
 -5.81314245e-02  4.22988965e-02 -3.79420740e-02  2.19304197e-01
  8.84909054e-03  2.38384227e-02 -1.40307763e-02 -7.97706648e-03
  3.85343570e-04  3.73265231e-02 -5.12124345e-02  6.19543878e-02
  2.45415700e-02  1.14240974e-02 -2.20149083e-02 -3.73160108e-02
  2.92395059e-02  8.61319665e-02 -5.59168067e-03  8.08287733e-01
  3.88206113e-02 -3.81187244e-02  9.80517024e-03 -5.35447478e-02
  2.67125242e-02 -6.05049276e-02  1.92302394e-02 -1.26710025e-01
  1.24031714e-01  5.33754117e-02 -8.87681861e-03  6.11934706e-03
  9.85012700e-02 -1.39589037e-03 -3.42193498e-02 -1.49520593e-02
 -1.44701054e-02 -7.93126656e-02]","[0.67083542 0.86944444 0.33333333 0.36005727 0.37855297 0.06224533
 0.60629921 0.8503937  0.78346457 0.18750871 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3,3,0.03632354024205748,"[ 1.61504301  0.77622131 -0.05670111 -0.63516941  0.59294296  1.27649244
  1.02232382  0.7330484   0.28667919  1.24602286  1.67772066  0.44348573
 -0.39495827 -0.82993213  0.48747098  0.47622272 -0.35934983 -0.10032388
  0.72836629 -0.25694096  0.05948971  0.39302957 -0.2689369  -0.02396668
 -0.12842683 -0.48379651 -0.09562451  0.34082723 -0.81396497  0.64442975
 -0.37590288 -0.69749461 -0.76122737 -0.10097472  0.58981719 -1.57277001
  0.76505902 -0.22701395 -0.07567325 -0.05244163 -0.7040688  -1.42729881
 -0.14436488 -0.12390307 -0.52572017 -0.50894904 -0.53307055 -0.37775918
  0.22556131  0.92041428  0.4924661   0.93216451 -0.31823494  1.28918762]","[0.70985493 0.31111111 0.13636364 0.06442377 0.2118863  0.55964592
 0.93307087 0.90551181 0.48818898 0.298341   1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         0.        ]"
4,4,0.13462936046511628,"[0.44000711 0.2656467  0.38655599 0.11132952 0.17544816 0.06874852
 0.97746601 0.76140348 0.22612805 0.32633076 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.40670335 0.31388889 0.28787879 0.12168933 0.31007752 0.16046087
 0.98031496 0.85826772 0.35433071 0.31493099 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
5,5,0.0034916218317123456,"[ 5.94151541e-01  4.95239902e-02  1.52370553e-01  3.33798535e-01
  2.82689878e-01  5.55640988e-01  8.35282277e-01  8.62628513e-01
  5.66090775e-01  6.08759755e-01  9.99932562e-01  3.66547979e-05
  5.46717929e-05  4.11913154e-05  5.42446529e-06 -2.06958265e-04
  7.03575382e-05  2.50061688e-04 -1.28870092e-04 -5.35170791e-05
 -4.74009907e-05 -4.03680105e-06  1.51149305e-05 -8.45724146e-05
  2.67218776e-05  1.41147829e-04 -1.52375977e-04  2.85393361e-06
  7.10643690e-06  2.59110871e-04  9.63312722e-05  1.06681969e-04
 -9.92729796e-05 -7.35811884e-05 -1.66161157e-04 -2.69187634e-05
 -6.67545755e-05  4.67665330e-05 -1.68788355e-04  2.23507286e-06
 -2.21553603e-05  9.73280784e-05  9.99995697e-01 -8.13677115e-05
 -4.56488652e-05  8.98477570e-05 -1.62949314e-04 -4.16053526e-05
 -5.84107939e-05 -9.51021929e-05 -1.23426160e-04  3.23914486e-05
  1.22584839e-04 -1.39366196e-04]","[0.5957979  0.04722222 0.15151515 0.3357194  0.28294574 0.55753829
 0.83464567 0.86220472 0.56692913 0.60797435 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
6,6,0.08201917032267345,"[ 0.75726441  0.2971747   0.40255946 -0.04471164 -0.03176867  0.40775061
  0.88994752  0.92903015  0.23628786  0.72220447  1.07971199 -0.21483054
  0.08937521 -0.0047268  -0.34380686 -0.1272461  -0.28931802 -0.01614722
  0.01050594  0.0145065   0.05977299  0.10135987 -0.03380206  0.14241268
  0.16243243  0.04575082 -0.24900508  0.2506598  -0.05292419  0.17854872
 -0.02981961  0.07127603 -0.15797637  0.07768912  0.26003295  0.02779419
 -0.06889991  0.06565265 -0.36394663  0.02614529 -0.1857229  -0.11599318
  0.93793988 -0.1939203   0.13712193  0.07775184  0.11044081 -0.17230664
  0.06087849  0.05105129  0.17982692  0.1402543  -0.06591115  0.14742324]","[0.47973987 0.26944444 0.21212121 0.04294918 0.24031008 0.30434172
 0.95275591 0.86220472 0.40944882 0.35159626 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7,7,0.025742112540144087,"[ 0.37898023 -0.07170227  0.31929944  0.13981951  0.18748594  0.50421597
  0.81900448  1.10732907  0.3587568   0.17585201  1.07385822  0.02496943
 -0.00664069 -0.0444686  -0.06017731 -0.08848033  0.18612999  0.18770863
  0.25988853 -0.1691531   0.01399608 -0.02630249  0.00558223  0.14100636
  0.01091416 -0.06510154  0.20579657  0.11223787 -0.07404722  0.13171227
 -0.03840424 -0.13558737 -0.04023739 -0.02259569 -0.046652   -0.1245653
  0.07626003  0.08008168  0.15771342  0.21203915  0.06352868  0.05477964
  1.1398148   0.09566394 -0.01475108  0.03854494 -0.02883438  0.15164554
 -0.0141039   0.01004046 -0.02717335 -0.14966582 -0.02516828 -0.11195236]","[0.58229115 0.11666667 0.16666667 0.08589835 0.24289406 0.34719685
 0.87401575 0.84645669 0.5        0.15948697 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
8,8,0.1020814379735385,"[-0.44952728  0.61489405  0.26873113 -0.22459787  0.77063415 -0.89685728
  0.61869584  0.89357172 -0.11451272 -0.3019743   0.21578858  0.42782867
  0.39155655  1.20507734 -0.62127242 -0.05420353  0.47952766  0.78746075
  0.19753795 -0.69252255 -0.07632107  0.58049199  0.45550366  0.90147046
 -0.10873568  0.11179786 -0.58542917  0.04812921 -0.53694499  0.09353871
 -0.53973567 -0.06844516  0.11727738 -1.20314358 -1.15766802  0.45844592
  0.60467229 -0.11589493  0.09832628  0.17518503 -0.01287869 -0.16626851
 -0.30733575 -1.03712168  0.6969236   0.13010036 -0.2176717   1.08508995
  0.53521433  0.32021774 -1.00900018  0.58271966  0.61663341 -0.04339991]","[0.63281641 0.81111111 0.27272727 0.02147459 0.2377261  0.31530139
 0.65354331 0.92125984 0.81102362 0.42910916 1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
9,9,0.21795783614270783,"[-0.74471946  0.39284391 -0.5445446   0.16574655  1.19960599 -1.07509992
  1.35654427  1.01600483 -0.19997781  0.58777224  0.47726246  1.05344921
  1.47906173  0.49848151 -0.18306486  0.48456167  0.62579629 -0.65170852
  0.46573672  0.39122494 -0.08632394 -1.24610407  1.03715168  0.11096205
  0.39989891  0.70111899 -0.83931448 -0.4484618  -0.1188043   0.59083998
 -0.0608768   0.51901682 -0.56788029  0.24540888  0.3339631  -0.33168575
  0.75469932  0.37078591  0.45867169  0.32704299 -0.45919255  0.23227884
 -1.19533452 -0.90124489  0.31384305 -0.30477047  1.18436639 -0.26644982
  0.59631143 -0.02190378 -0.0584152  -0.68185945  0.89542976  1.47010047]","[0.73736868 0.01388889 0.25757576 0.06442377 0.23255814 0.27399185
 0.76771654 0.80314961 0.56692913 0.67252196 0.         1.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.         0.        ]"
